Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Afghanistan (2023),0.902405539,0.833593816,0.891073357,0.911830855,0.914863551,0,0.870270399,0.949008114,0,0.646726436,0,0.97790078
Albania (2024),0.933047297,0.620784697,0.90133599,0.567198694,0.993997355,0.968764681,0.977998716,0.805972309,0.964585497,0.779399242,0.988871948,0.994621495
Algeria (2022),0.614921232,0.450122343,0.689652775,0.777803043,0,0,0,0.767016106,0,0,0,0.962092675
Argentina (2024),0.878933638,0.883954183,0.926541155,0.884359042,0.985097207,0.97478656,0.99129185,0.82222934,0.766170654,0.715294285,0.985717588,0.99232654
Armenia (2024),0.756215666,0.77570941,0.925392246,0.712586151,0.973512823,0.935569145,0.95597521,0.779718439,0.985008664,0.632020505,0.989756291,0.997764539
Australia (2024),0.835929692,0.631503797,0.922481556,0.897734314,0.98988477,0.924439266,0.969582761,0.834060859,0.802458844,0.622235907,0.953143507,0.979539805
Austria (2024),0.804197637,0.872857678,0.941635567,0.791290593,0.904316645,0.953931231,0.991535766,0.846594189,0.809108474,0.744787564,0.950896294,0.993056076
Azerbaijan (2024),0.790724442,0.539259905,0.714421105,0.810325112,0.923165019,0.880009452,0,0.503264084,0.841981898,0.807449168,0.876621883,0.997011626
Bahrain (2024),0,0,0,0,0,0,0,0,0,0,0,0.950642425
Bangladesh (2023),0.705968666,0.572422229,0.637366854,0.673652952,0.992544015,0.983080716,0.997400163,0.645269118,0.469590896,0.632348032,0.998494663,0.988415421
Belarus (2019),0.742436771,0.73309983,0.807544962,0.803011011,0.969511967,0.946384411,0.981014606,0.864303705,0.915686557,0.883778802,0.993481775,0.984691235
Belgium (2024),0.747076371,0.862879965,0.900182083,0.798100606,0.988217164,0.985067075,0.996661087,0.895332819,0.811296917,0.758816467,0.973813737,0.980768949
Benin (2023),0.528331742,0.462647312,0.533232902,0.485336836,0.987815468,0.996661056,0.953787005,0.717868096,0.957801082,0.799159981,0.988455046,0.945225128
Bolivia (2023),0.848311288,0.882466195,0.886273774,0.836140402,0.989798039,0.995949042,0.995945031,0.771805667,0.756614805,0.657560605,0.994320938,0.948450734
Bosnia and Herzegovina (2024),0.899373117,0.863939044,0.892999673,0.854693509,0.992026121,0.912904589,0.995330239,0.813415444,0.890424178,0.674562663,0.996194858,0.998841308
Botswana (2023),0.768166039,0.733443833,0.858105565,0.699809838,0.967578932,0.98139621,0.978572258,0.824070722,0.765013822,0.672589385,0.994459155,0.973371373
Brazil (2024),0.896310629,0.88351062,0.952573228,0.86335151,0.997210143,0.981607245,0.999183432,0.921848811,0.652768422,0.648347238,0.998808249,0.986026989
Bulgaria (2023),0.720434448,0.759877219,0.690214716,0.886509045,0.982077881,0.89404397,0.985693138,0.831688212,0.842824598,0.68051973,0.980719362,0.993387055
Burkina Faso (2024),0.306581888,0.29396862,0.132916893,0.399644187,0.968172508,0.999923037,0.992526021,0.632027584,0.944967838,0.847871047,0.81822222,0.917272569
Burundi (2018),0,0,0,0,0,0,0,0,0.873495779,0,0,0.946566938
Cambodia (2023),0.763279569,0.727194402,0.759597062,0.55572693,0,0.87100439,0,0.348247087,0.709829378,0.807596961,0,0.973278349
Cameroon (2024),0.559341732,0.538716114,0.595080641,0.551277916,0.996038025,0.992609147,0.985280806,0.779369994,0.951646685,0.763413355,0.979011899,0.908319904
Canada (2024),0.817028635,0.681234408,0.885953019,0.883235201,0.954348039,0.92668744,0.971694211,0.869450186,0.828456209,0.66340518,0.940797096,0.994407003
Central African Republic (2017),0.440463226,0.568935106,0.644484922,0.490079324,0.996525263,0.997167862,0.974064,0.749838306,0.943612154,0.7452436,0.984451776,0.946788426
Chad (2023),0.477693572,0.435006004,0.470770922,0.44895708,0.996975595,0.997105619,0.990871061,0.759973405,0.892366676,0.755844523,0.996370574,0.981431005
Chile (2023),0.907840622,0.861723893,0.942817188,0.847258704,0.995728041,0.937445754,0.994528938,0.893618688,0.770092919,0.707466461,0.990471231,0.991730111
China (2023),0,0,0,0,0,0,0,0,0.941437238,0,0,0.91712511
Colombia (2023),0.865374464,0.843447249,0.928084556,0.757436591,0.994167712,0.951584261,0.991193848,0.818971253,0.710689217,0.695859619,0.994408883,0.981316307
Comoros (2023),0.622157035,0.694995294,0.727658792,0.682554324,0.997355708,0.995611554,0.968293402,0.829676485,0.859909174,0.704699301,0.997209774,0.990639585
