Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Afghanistan (2023),0.9420214592795512,0.9602830517635614,0.9328464417868694,0.9856372492569122,0.9939920996935795,0.0,0.9635843621439264,0.9746301524166541,0.0,0.932799763005341,0.0,0.9916727992314366
Albania (2024),0.8683158816531441,0.9585832538790957,0.8959925453946009,0.9822258083150199,0.9860925403965033,0.9869843746569238,0.988995869632791,0.9892226330051465,0.9373656424273518,0.9883947185405084,0.9954695683601997,0.9954822655926789
Algeria (2022),0.9752660002919147,0.9764802002058097,0.9732984252823363,0.9942588071594329,0.0,0.0,0.0,0.9930438365391389,0.0,0.0,0.0,0.9866918031217927
Argentina (2024),0.9770732766079622,0.9780022804841204,0.9711962765326884,0.9584736629220424,0.9913897978481703,0.996597712474489,0.9942341020995765,0.9374597040784662,0.999079631839984,0.9993160824311978,0.9893214435049484,0.9959182214303594
Armenia (2024),0.9758848025431162,0.9895302491923748,0.9378584396240952,0.9608574673534174,0.9899409598382007,0.9904233715995677,0.9834136742198548,0.9533712838563119,0.8637720165580027,0.957268431109059,0.9949418255933024,0.9964558611925026
Australia (2024),0.9422735225601483,0.9900384057181223,0.9732164199952567,0.9561471392809522,0.9840225846349948,0.9788450933706181,0.9856608179349592,0.9585522579036622,0.9931215437072592,0.9943957776472281,0.9916363250985659,0.9897899370763237
Austria (2024),0.9146915510862715,0.9930854799513094,0.9723562105733005,0.98849926773851,0.9824288492344132,0.9791859633117312,0.989099967304332,0.979049811920163,0.9958082509913365,0.995019245665498,0.9731515710098078,0.984039093717493
Azerbaijan (2024),0.9607689584568524,0.9919098243101924,0.9316876300026388,0.9824895268499962,0.8584249790921659,0.97359958635637,0.0,0.9800893756566548,0.9812924837904571,0.9961265227978255,0.9280972197135207,0.977684920837784
Bahrain (2024),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9862867391016521
Bangladesh (2023),0.9867204512380546,0.9762750727499607,0.9850514759467458,0.978248769698911,0.9946750902300053,0.9981853278160457,0.9714319451717431,0.9911336673658073,0.715623735043307,0.9553638148660512,0.9921917676057198,0.9903854476163132
Belarus (2019),0.9571809040991117,0.96374762285348,0.9719563703622633,0.967296779841482,0.9892420403973059,0.9845392648613154,0.9952849804540536,0.9979088102468902,0.9625713223480236,0.996055880422725,0.9914552821614323,0.9769087639068109
Belgium (2024),0.9436048141492592,0.9932147682123705,0.9630759899274932,0.9867254834965017,0.986001765986417,0.9949747980949855,0.9910342665611251,0.9848333272130516,0.9893187252707681,0.9926807789721465,0.9942254703970931,0.9954961333010502
Benin (2023),0.9859432697001872,0.9838102400852071,0.9717012415558323,0.984829024945809,0.9974828260513108,0.9844506916162056,0.9833936369076145,0.9916674729098572,0.8890317443155609,0.9969398523420231,0.9944159307016353,0.9659819056554952
Bolivia (2023),0.9975117864433394,0.9955850214395838,0.9928637546317701,0.9659775788318893,0.9873864383218036,0.9939726764748942,0.991698600772559,0.9507427412886383,0.998084633085055,0.970011485809029,0.991040417395983,0.986268548337168
Bosnia and Herzegovina (2024),0.9941632697850618,0.9976016432919786,0.9913322434674592,0.9984027029096977,0.9944490669963976,0.9947345390369823,0.9910602134266742,0.96456989024232,0.960032926960227,0.987836425354912,0.9939151026644526,0.9954393174051668
Botswana (2023),0.9839564815766304,0.9969583063861812,0.9211126995001845,0.993267460777506,0.9862326506300573,0.9915341813444073,0.9907665039598283,0.9956030444966344,0.9537217132561635,0.9915684535368635,0.9964770627936904,0.9528078926716466
Brazil (2024),0.9672168683538206,0.9528543240498036,0.9775754408751421,0.996156099925762,0.9984677356764379,0.9896395858894845,0.9887482457014909,0.9695225540538464,0.9603006436468395,0.9763445973273608,0.9950273094493682,0.9927041627370667
Bulgaria (2023),0.9615459364881449,0.9973932180129761,0.924845032271396,0.979333349301869,0.9988772937878122,0.9833722340762774,0.9919453060248205,0.9917951922016822,0.9948132906534692,0.9372627646225253,0.9906629349968358,0.996231618312177
